4,3,29,42,9,3,566
0,6,27,27,6,23,614
14,0,24,25,6,20,624
19,8,18,25,1,18,715
5,6,27,21,1,29,668
30,2,11,28,2,18,815
5,6,17,33,9,21,705
14,4,11,35,7,18,730
2,0,17,26,2,42,657
9,16,27,28,1,9,618
13,11,11,27,0,27,673
2,7,28,29,17,7,675
24,12,14,35,3,1,622
37,2,6,27,5,14,723
31,13,15,29,1,2,664
34,0,11,14,0,31,905
1,14,27,2,4,23,620
2,18,13,32,4,21,638
19,4,28,21,13,6,538
14,23,7,32,3,12,495
0,0,30,0,30,30,937
0,15,10,5,37,23,671
6,14,26,0,30,16,611
0,33,0,14,20,21,468
35,40,10,5,0,0,723
5,25,12,7,29,12,990
0,21,15,15,28,11,695
30,0,30,0,30,0,793
12,12,12,12,33,9,903
5,15,5,5,30,30,1180
5,35,0,30,15,5,901
10,30,20,5,15,10,653
0,30,20,10,20,10,702
12,32,8,8,12,18,630
0,10,20,10,25,25,958
5,5,10,10,30,30,764
5,5,30,10,25,15,653
10,45,20,0,5,10,743
10,15,5,0,30,20,889
16,12,50,4,8,1,481
25,45,5,15,0,0,996
25,40,0,15,0,10,1056
20,30,20,20,0,0,1036
30,20,30,3,1,6,676
25,25,25,5,0,10,870
5,20,40,20,0,5,546
10,20,30,20,0,10,544
25,15,35,0,0,15,620
35,35,15,5,0,0,722
15,20,35,10,0,10,689
30,10,40,5,5,0,591
25,26,16,16,3,3,659
12,27,38,5,3,4,653
16,11,49,4,1,9,517
19,15,33,13,6,4,652
14,22,33,16,4,2,671
15,27,27,15,0,7,670
31,27,27,2,4,5,757
23,20,20,0,7,12,668
0,22,30,25,0,13,539
21,8,34,12,15,0,691
2,15,27,23,9,14,535
5,7,33,26,15,4,531
9,9,40,20,3,9,560
5,14,30,14,9,18,563
0,17,31,22,0,18,603
25,0,30,16,14,5,671
0,20,20,20,6,24,642
0,24,24,24,0,18,636
28,0,28,18,16,0,511
15,0,30,26,19,0,601
23,0,34,21,12,0,618
0,20,25,22,5,18,571
0,0,45,13,9,23,517
20,0,35,15,20,0,437
5,10,40,15,5,15,619
18,0,33,18,21,0,717
40,9,10,15,16,0,936
18,11,17,28,16,0,774
0,14,32,29,15,0,820
0,18,27,24,8,13,903
0,11,31,32,16,0,609
6,7,54,4,9,10,714
0,13,38,24,9,6,437
0,15,32,27,15,0,505
0,33,0,24,5,28,621
0,19,41,16,10,4,811
0,19,39,21,7,4,571
8,13,53,12,4,0,729
0,11,43,18,11,7,587
53,11,0,7,15,4,1045
0,21,47,6,11,5,454
50,6,0,18,16,0,703
6,14,51,14,5,0,750
43,0,0,16,31,0,964
50,5,0,20,15,0,783
0,12,29,35,14,0,819
9,0,61,20,0,0,539
6,0,53,0,22,6,691
0,0,45,45,0,0,455
